,interested_insurance,created_account,age_by_decade_20s,age_by_decade_30s,age_by_decade_40s,age_by_decade_50s,age_by_decade_60s,age_by_decade_70s,age_by_decade_80s,teens,marital_status_divorced,marital_status_married-civ-spouse,marital_status_married-spouse-absent,marital_status_never-married,marital_status_separated,marital_status_widowed,familiarity_FB_scaled,view_FB_scaled,occupation_level_scaled,education_num_scaled,postcode_encoded_scaled,job_title_encoded_scaled
0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6401568477921328,1.4748406562257683,-1.7408087288518346,1.1368709786155062,-0.6744975259964595,0.156223683770188
1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3853038496251595,0.29825908729084777,-0.9620755235955041,1.1368709786155062,0.747481399670099,-1.3430056231424834
2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1049901540408939,-0.4861286253324327,1.1145463570880438,-0.36260982847344253,0.2838624431438731,-1.164936241861668
3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3853038496251595,-1.270516337955713,-1.7408087288518346,-1.262298312726812,-1.1059976346028084,0.001130996848187516
4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.012730348708646,1.4748406562257683,1.1145463570880438,1.1368709786155062,1.1555015229005376,0.5181066199215225
5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6401568477921328,-0.09393476902079245,-0.18334231833917355,1.436767140033296,0.5939754575426863,-0.9926110341705564
6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.5952841577069472,-1.270516337955713,-1.7408087288518346,-2.161986796980181,-0.06180281326280416,-0.6307280980192219
7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3853038496251595,0.690452943602488,1.3741240921734874,-0.36260982847344253,1.6503532901626439,-1.1304712003234456
8,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26758334687561947,-0.8783224816440729,1.1145463570880438,1.436767140033296,1.5615280624669838,0.5410833142803374
9,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1049901540408939,-0.8783224816440729,-0.9620755235955041,1.1368709786155062,1.0616923360448964,-0.4124495016104805
10,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5952841577069472,-1.270516337955713,1.3741240921734874,-0.06271366705565279,-1.1177376272907633,0.7421293899199677
11,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8501371558739206,1.0826467999141283,-0.18334231833917355,1.1368709786155062,0.8292183298937862,0.17920037812900289
12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4775636549574072,0.29825908729084777,0.5953908869171569,1.1368709786155062,-0.8171495126199136,-0.7341232226338889
13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26758334687561947,1.4748406562257683,-0.9620755235955041,0.8369748171977165,-1.6533471050167137,-0.4354261959692954
14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.012730348708646,-0.09393476902079245,0.5953908869171569,0.23718249436213698,1.3519802684517856,-0.958145992632334
15,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8501371558739206,1.0826467999141283,-1.481230993766391,-2.461882958397971,-0.11873070233458631,-1.3832148382704095
16,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1049901540408939,-1.6627101942673532,-1.2216532586809477,-0.36260982847344253,-0.06279960509480034,-0.19417090520173902
17,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5952841577069472,-0.8783224816440729,-0.7024977885100605,-0.36260982847344253,-0.31299435492584293,-0.38372863366196186
18,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.222710656790434,-1.6627101942673532,1.633701827258931,-1.262298312726812,-1.6287595731608078,-0.05056656545914598
19,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.222710656790434,-0.8783224816440729,-0.44292005342461704,1.436767140033296,1.0374370681329894,-0.14821751648410925
20,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7578773505416727,0.690452943602488,2.1528572974298177,2.3364556242866654,1.6300851895787214,0.5295949671009299
21,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.222710656790434,-1.6627101942673532,0.33581315183171345,-0.36260982847344253,-1.1449832706986591,0.6904318276126341
22,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6401568477921328,0.29825908729084777,1.1145463570880438,-2.161986796980181,-1.3931844368657094,0.5870367029979672
23,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26758334687561947,0.29825908729084777,0.33581315183171345,-1.262298312726812,-1.271797342658174,0.1849445517187066
24,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3853038496251595,-0.09393476902079245,-1.481230993766391,-0.36260982847344253,-1.6463695621927406,0.35152558582011456
25,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1049901540408939,-0.8783224816440729,2.1528572974298177,1.1368709786155062,1.002217090069124,1.437174394274118
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5952841577069472,-1.270516337955713,-0.9620755235955041,-0.36260982847344253,-1.2178598290823803,0.3400372386407071
27,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6401568477921328,-1.270516337955713,0.33581315183171345,-0.06271366705565279,1.566733530922964,-0.5388213205839624
28,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26758334687561947,-0.09393476902079245,-0.7024977885100605,-0.36260982847344253,1.0470727225089524,1.8507548927327861
29,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6401568477921328,-1.270516337955713,-0.44292005342461704,-0.36260982847344253,1.2806542751400587,-0.30905437699581345
30,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.222710656790434,0.690452943602488,0.07623541674626994,0.8369748171977165,-1.6766055810966247,-0.6364722716089256
31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4775636549574072,0.690452943602488,-0.44292005342461704,-0.06271366705565279,-1.1646975980425838,-0.02184569751062737
32,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1049901540408939,-0.8783224816440729,-0.9620755235955041,1.1368709786155062,0.3772286114075158,0.39747897453774433
33,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26758334687561947,-0.4861286253324327,-0.9620755235955041,-0.06271366705565279,0.6706176739583931,0.31706054428189223
34,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6401568477921328,-0.09393476902079245,-0.9620755235955041,-0.06271366705565279,-0.5945326701407655,0.4376881896656704
35,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26758334687561947,0.690452943602488,0.07623541674626994,-1.262298312726812,-0.07332129665476009,0.8742453824831533
36,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.222710656790434,-1.6627101942673532,0.33581315183171345,-0.06271366705565279,0.08051690941665123,-1.434912400577743
37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5952841577069472,1.4748406562257683,0.5953908869171569,-0.36260982847344253,-1.0379942807310685,-0.958145992632334
38,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1049901540408939,-0.4861286253324327,0.5953908869171569,-0.06271366705565279,-1.6204529745608396,-0.8202858264794447
39,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3853038496251595,0.29825908729084777,0.07623541674626994,0.8369748171977165,0.5275226687429406,0.9259429447904868
40,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8501371558739206,-1.270516337955713,1.1145463570880438,-2.161986796980181,-0.8730806098596996,0.5353391406906337
41,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.012730348708646,0.29825908729084777,-0.18334231833917355,1.1368709786155062,1.246874107500188,-1.4176798798086319
42,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4775636549574072,0.690452943602488,-0.7024977885100605,1.1368709786155062,0.5030458915350343,-1.3774706646807058
43,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8501371558739206,0.690452943602488,-1.7408087288518346,-0.36260982847344253,0.4584117683912051,0.018363517617298684
44,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5952841577069472,-0.09393476902079245,-1.2216532586809477,-0.36260982847344253,-0.9570326330433784,-0.2114034259708502
